product_url,rating,review,scraped_at
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.8,"udah mau dua minggu pake, honestly aku ngerasa ini bagus banget. sempet bingung antara yg blue moon sama yang ini tapi condong ke dia dari awal beli. teksturnya ga terlalu tebel, tp pakenya jgn terlalu banyak kalo kalian tipe muka berminyak. jadi lembab banget, cocok!",2025-01-29 14:16:01
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.8,"Sudah hampir 2 bulan pakai ini. Claim nya melembabkan kulit wajah dan diperuntukan bagi dry skin. Yang aku rasakan efeknya memang cukup melembabkan. Aku pakai di malam hari, ketika bangun tidur wajah terasa moist, tapi gak sampe berminyak banget. Selain itu aku merasa kulit wajah keliatan agak lebih glowing. Alhamdulilah gak ada keluhan aneh-aneh untuk kulit sensitif ini. So far aku suka, tapi mau ganti moisturizer karena mau coba yang lain bukan karna gak cocok. Hehehe",2025-01-29 14:16:01
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,5.0,"awalnya beli produk ini karena emang mau nyari moisturizer trus pas dateng suka banget sm packagingnya ada spatula trus lucu aja gitu dan ternyata cocok, kulitku jadi lebih halus padahal kulitku kombinasi cenderung berminyak gitu tapi ini ga bikin berminyak sih di aku dan paling penting ga bikin jerawatan atau bruntusan so far aku sangat sukaa",2025-01-29 14:16:01
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.0,"if you have dry skin i recommend you to use this product. di aku yang oily makenya tipis aja udah melembapkan banget, kalo kebanyakan muka berasa berminyak mungkin karena tekturnya yg thick jadi berasa berat di aku. tapi ini justru cocok banget sih kalo untuk dry skin.",2025-01-29 14:16:01
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.3,"ini aku pake gak ngelembabin muka ku banget jadi rada kurang gitu di aku, terus enak sih ada wanginya tp gak mengganggu kok wanginya itu. cuma kalau buat bikin muka lembab ini di akku gak terlalu ngaruh sih",2025-01-29 14:16:01
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.8,"jujur saja!!.. suka banget sama moisturizer ini karena cukup melembabkan, packahingnya kokoh + higienis, dan aromanya wangi banget. Yang disayangkan, dia itu setelah diaplikasikan di kilit, lama kelamaan kaya ada lapisan lagi diatas kulit kita itu yg bikin kurang nyaman. dan setelah seminggu pemakaian kok rasanya ada gatel-gatel dan merah-merah setelah pemakaian productnya dengan rangkaian skincare lain yang biasanya aku pake.",2025-01-29 14:16:01
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.0,"Pelembab water base dengan tekstur cream thick. Cocok banget buat kulit kering. Karena terlalu thick kadang susah untuk dibaurkan. Untuk mengatasi ini biasanya campur sedikit rose waternya (ini hanya preferensi saya). Bisa banget untuknya mengunci kelembaban semaleman. Takaran pemakaian harus pas, kalo kebanyakan bikin greasy. Dalam wadahnya ada spatula, jarang banget produk lokal ada yang kayak gini.",2025-01-29 14:16:24
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,5.0,Moisturizernya lumayan lengket di kulit aku soalnya kulitku kombinasi jadi daerah t zone nya keliatan kilat minyaknya kalo pemakaian siang hari. Tapi enak kalo dipake di malemmm apalagi kalo udah pake weekly exfoliate,2025-01-29 14:16:24
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,3.8,"Buat kulit’ku yg super berminyak tekstur’ny lumayan pekat. Jd mesti pake tipis2 banget, aku biasa’ny pake utk ng’seal skin care malem kalo lagi pake exfo serum/toner, pagi’ny lumayan lembab dan gak bikin kering. Dgn harga’ny sbner’ny ini worth it dan ngefek ! Tp krna tekstur trlalu thick jd bikin rawan over hidrasi buat kulit’ku.
And yess aku suka packaging yg pake karton daur ulang😍",2025-01-29 14:16:24
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.5,"ini jar keduaku. memang kulitku tipikal yang kering. dan ini beneran cocok di aku, melembabkan.. yang paling aku suka adalah ide bikin kemasannya dijaga ke-higienis-annya karna ada seal pembatas di bawah tutup jarnya. daannn ada mini spatulanya buat ambil produk. jadi gak langsung pakai tangan.",2025-01-29 14:16:24
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,4.3,"Beda sama Blue Moon, moisturizer yang ini bentuknya kayak gel. Mirip sleeping mask-nya Haple, tapi bedanya dia lebih kental. Setelah pakai wajah memang terasa moist banget dan lebih ga gampang kering. Mudah di-blend juga. Pakai dikit cukup sewajah. Suka 💕",2025-01-29 14:16:24
https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer,5.0,"Aku baru mau nyoba produk ini , mois nya ini dua jenis gtu yg satunya mengndung alkohol dan aku pilih yang non alkohol . Semoga aja cocok di aku nanti aku review kelanjutannya setelah aku pake , thanks",2025-01-29 14:16:24
